"","Month","Day","Name","Party","From"
"1",1,1,"Rep. Derek Kilmer"," D","Wash."
"2",1,1,"Sen. Robert Menendez"," D","N.J."
"3",1,1,"Rep. Terri A. Sewell"," D","Ala."
"4",3,1,"Rep. Marc Veasey"," D","Texas"
"5",5,1,"Rep. Rodney Davis"," R","Ill."
"6",5,1,"Rep. Carolyn McCarthy"," D","N.Y."
"7",6,1,"Rep. Frank D. Lucas"," R","Ohio"
"8",7,1,"Rep. Jeff Duncan"," R","S.C."
"9",7,1,"Rep. Vance McAllister"," R","La."
"10",7,1,"Sen. Rand Paul"," R","Ky."
"11",7,1,"Rep. Loretta Sanchez"," D","Calif."
"12",7,1,"Sen. John Thune"," R","S.D."
"13",8,1,"Rep. Kevin Yoder"," R","Kan."
"14",9,1,"Rep. Michael E. Capuano"," D","Mass."
"15",10,1,"Sen. Roy Blunt"," R","Mo."
"16",10,1,"Rep. Lois Capps"," D","Calif."
"17",10,1,"Sen. Mark Pryor"," D","Ark."
"18",10,1,"Rep. Bill Shuster"," R","Pa."
"19",10,1,"Rep. Chris Van Hollen"," D","Md."
"20",10,1,"Rep. Greg Walden"," D","Ore."
"21",11,1,"Rep. Michael R. Turner"," R","Ohio"
"22",12,1,"Rep. Sheila Jackson Lee"," D","Texas"
"23",13,1,"Rep. Thomas Massie"," R","Ky."
"24",14,1,"Rep. Michael McCaul"," R","Texas"
"25",16,1,"Rep. Diane Black"," R","Tenn."
"26",18,1,"Rep. Elijah E. Cummings"," D","Md."
"27",18,1,"Rep. Kay Granger"," R","Texas"
"28",18,1,"Rep. Michael H. Michaud"," D","Maine"
"29",19,1,"Del. Gregorio Kilili Camacho Sablan"," D","N. Marianas"
"30",20,1,"Rep. Bill Owens"," D","N.Y."
"31",21,1,"Rep. Kevin Cramer"," R","N.D."
"32",21,1,"Rep. Matt Salmon"," R","Ariz."
"33",22,1,"Rep. Steve Chabot"," R","Ohio"
"34",22,1,"Rep. Rick Crawford"," R","Ark."
"35",23,1,"Sen. Thomas R. Carper"," D","Del."
"36",24,1,"Rep. John Garamendi"," D","Calif."
"37",24,1,"Rep. Mike Thompson"," D","Calif."
"38",25,1,"Rep. Richard Hanna"," R","N.Y."
"39",25,1,"Rep. Andy Harris"," R","Md."
"40",25,1,"Rep. Bill Pascrell Jr."," D","N.J."
"41",26,1,"Rep. Xavier Becerra"," D","Calif."
"42",26,1,"Rep. Kevin McCarthy"," R","Calif."
"43",26,1,"Rep. Albio Sires"," D","N.J."
"44",27,1,"Rep. John L. Mica"," R","Fla."
"45",28,1,"Rep. Lou Barletta"," R","Pa."
"46",28,1,"Rep. Linda T. Sánchez"," D","Calif."
"47",28,1,"Sen. Jeanne Shaheen"," D","N.H."
"48",28,1,"Rep. Bennie Thompson"," D","Miss."
"49",29,1,"Rep. Paul D. Ryan"," R","Wis."
"50",29,1,"Rep. Lee Terry"," R","Neb."
"51",30,1,"Rep. Frank R. Wolf"," R","Va."
"52",31,1,"Rep. Bill Huizenga"," R","Mich."
"53",31,1,"Rep. C.A. Dutch Ruppersberger"," D","Md."
"54",1,2,"Sen. Michael B. Enzi"," R","Wyo."
"55",2,2,"Sen. John Cornyn"," R","Texas"
"56",3,2,"Rep. Tom Graves"," R","Ga."
"57",3,2,"Rep. Rob Wittman"," R","Va."
"58",4,2,"Rep. Sanford D. Bishop Jr."," D","Ga."
"59",7,2,"Rep. Stephen Fincher"," R","Tenn."
"60",7,2,"Rep. Michael G. Grimm"," R","N.Y."
"61",7,2,"Rep. Doc Hastings"," R","Wash."
"62",8,2,"Rep. Gus Bilirakis"," R","Fla."
"63",9,2,"Rep. Renee Ellmers"," R","N.C."
"64",9,2,"Rep. Todd Rokita"," R","Ind."
"65",10,2,"Rep. Walter B. Jones"," R","N.C."
"66",11,2,"Sen. Tammy Baldwin"," D","Wis."
"67",11,2,"Rep. Rob Woodall"," R","Ga."
"68",13,2,"Sen. Richard Blumenthal"," D","Conn."
"69",13,2,"Rep. Filemon Vela"," D","Texas"
"70",14,2,"Rep. Richard E. Neal"," D","Mass."
"71",17,2,"Rep. Suzan DelBene"," D","Wash."
"72",17,2,"Rep. J. Randy Forbes"," R","Va."
"73",17,2,"Rep. Jim Jordan"," R","Ohio"
