“”,”X”,”X.1”,”X.2”,”Month”,”Day”,”Name”,”Party”,”From”,”Age”
"2","Rep. Derek Kilmer, D-Wash., 40",TRUE,"1/1/2014",1,1,"Rep. Derek Kilmer"," D","Wash.",40
"3","Sen. Robert Menendez, D-N.J., 60",TRUE,"1/1/2014",1,1,"Sen. Robert Menendez"," D","N.J.",60
"4","Rep. Terri A. Sewell, D-Ala., 49",TRUE,"1/1/2014",1,1,"Rep. Terri A. Sewell"," D","Ala.",49
"6","Rep. Marc Veasey, D-Texas, 43",TRUE,"1/3/2014",3,1,"Rep. Marc Veasey"," D","Texas",43
"8","Rep. Rodney Davis, R-Ill., 44",TRUE,"1/5/2014",5,1,"Rep. Rodney Davis"," R","Ill.",44
"9","Rep. Carolyn McCarthy, D-N.Y., 70",TRUE,"1/5/2014",5,1,"Rep. Carolyn McCarthy"," D","N.Y.",70
"11","Rep. Frank D. Lucas, R-Ohio, 54",TRUE,"1/6/2014",6,1,"Rep. Frank D. Lucas"," R","Ohio",54
"13","Rep. Jeff Duncan, R-S.C., 48",TRUE,"1/7/2014",7,1,"Rep. Jeff Duncan"," R","S.C.",48
"14","Rep. Vance McAllister, R-La., 40",TRUE,"1/7/2014",7,1,"Rep. Vance McAllister"," R","La.",40
"15","Sen. Rand Paul, R-Ky., 51",TRUE,"1/7/2014",7,1,"Sen. Rand Paul"," R","Ky.",51
"16","Rep. Loretta Sanchez, D-Calif., 54",TRUE,"1/7/2014",7,1,"Rep. Loretta Sanchez"," D","Calif.",54
"17","Sen. John Thune, R-S.D., 53",TRUE,"1/7/2014",7,1,"Sen. John Thune"," R","S.D.",53
"19","Rep. Kevin Yoder, R-Kan., 38",TRUE,"1/8/2014",8,1,"Rep. Kevin Yoder"," R","Kan.",38
"21","Rep. Michael E. Capuano, D-Mass., 62",TRUE,"1/9/2014",9,1,"Rep. Michael E. Capuano"," D","Mass.",62
"23","Sen. Roy Blunt, R-Mo., 64",TRUE,"1/10/2014",10,1,"Sen. Roy Blunt"," R","Mo.",64
"24","Rep. Lois Capps, D-Calif., 76",TRUE,"1/10/2014",10,1,"Rep. Lois Capps"," D","Calif.",76
"25","Sen. Mark Pryor, D-Ark., 51",TRUE,"1/10/2014",10,1,"Sen. Mark Pryor"," D","Ark.",51
"26","Rep. Bill Shuster, R-Pa., 53",TRUE,"1/10/2014",10,1,"Rep. Bill Shuster"," R","Pa.",53
"27","Rep. Chris Van Hollen, D-Md., 55",TRUE,"1/10/2014",10,1,"Rep. Chris Van Hollen"," D","Md.",55
"28","Rep. Greg Walden, D-Ore., 57",TRUE,"1/10/2014",10,1,"Rep. Greg Walden"," D","Ore.",57
"30","Rep. Michael R. Turner, R-Ohio, 54",TRUE,"1/11/2014",11,1,"Rep. Michael R. Turner"," R","Ohio",54
"32","Rep. Sheila Jackson Lee, D-Texas, 64",TRUE,"1/12/2014",12,1,"Rep. Sheila Jackson Lee"," D","Texas",64
"34","Rep. Thomas Massie, R-Ky., 43",TRUE,"1/13/2014",13,1,"Rep. Thomas Massie"," R","Ky.",43
"36","Rep. Michael McCaul, R-Texas, 52",TRUE,"1/14/2014",14,1,"Rep. Michael McCaul"," R","Texas",52
"38","Rep. Diane Black, R-Tenn., 63",TRUE,"1/16/2014",16,1,"Rep. Diane Black"," R","Tenn.",63
"40","Rep. Elijah E. Cummings, D-Md., 63",TRUE,"1/18/2014",18,1,"Rep. Elijah E. Cummings"," D","Md.",63
"41","Rep. Kay Granger, R-Texas, 71",TRUE,"1/18/2014",18,1,"Rep. Kay Granger"," R","Texas",71
"42","Rep. Michael H. Michaud, D-Maine, 59",TRUE,"1/18/2014",18,1,"Rep. Michael H. Michaud"," D","Maine",59
"44","Del. Gregorio Kilili Camacho Sablan, D-N. Marianas, 59",TRUE,"1/19/2014",19,1,"Del. Gregorio Kilili Camacho Sablan"," D","N. Marianas",59
"46","Rep. Bill Owens, D-N.Y., 65",TRUE,"1/20/2014",20,1,"Rep. Bill Owens"," D","N.Y.",65
"48","Rep. Kevin Cramer, R-N.D., 53",TRUE,"1/21/2014",21,1,"Rep. Kevin Cramer"," R","N.D.",53
"49","Rep. Matt Salmon, R-Ariz., 56",TRUE,"1/21/2014",21,1,"Rep. Matt Salmon"," R","Ariz.",56
"51","Rep. Steve Chabot, R-Ohio, 61",TRUE,"1/22/2014",22,1,"Rep. Steve Chabot"," R","Ohio",61
"52","Rep. Rick Crawford, R-Ark., 48",TRUE,"1/22/2014",22,1,"Rep. Rick Crawford"," R","Ark.",48
"54","Sen. Thomas R. Carper, D-Del., 67",TRUE,"1/23/2014",23,1,"Sen. Thomas R. Carper"," D","Del.",67
"56","Rep. John Garamendi, D-Calif., 69",TRUE,"1/24/2014",24,1,"Rep. John Garamendi"," D","Calif.",69
"57","Rep. Mike Thompson, D-Calif., 63",TRUE,"1/24/2014",24,1,"Rep. Mike Thompson"," D","Calif.",63
"59","Rep. Richard Hanna, R-N.Y., 63",TRUE,"1/25/2014",25,1,"Rep. Richard Hanna"," R","N.Y.",63
"60","Rep. Andy Harris, R-Md., 57",TRUE,"1/25/2014",25,1,"Rep. Andy Harris"," R","Md.",57
"61","Rep. Bill Pascrell Jr., D-N.J., 77",TRUE,"1/25/2014",25,1,"Rep. Bill Pascrell Jr."," D","N.J.",77
"63","Rep. Xavier Becerra, D-Calif., 56",TRUE,"1/26/2014",26,1,"Rep. Xavier Becerra"," D","Calif.",56
"64","Rep. Kevin McCarthy, R-Calif., 49",TRUE,"1/26/2014",26,1,"Rep. Kevin McCarthy"," R","Calif.",49
"65","Rep. Albio Sires, D-N.J., 63",TRUE,"1/26/2014",26,1,"Rep. Albio Sires"," D","N.J.",63
"67","Rep. John L. Mica, R-Fla., 71",TRUE,"1/27/2014",27,1,"Rep. John L. Mica"," R","Fla.",71
"69","Rep. Lou Barletta, R-Pa., 58",TRUE,"1/28/2014",28,1,"Rep. Lou Barletta"," R","Pa.",58
"70","Rep. Linda T. Sánchez, D-Calif., 45",TRUE,"1/28/2014",28,1,"Rep. Linda T. Sánchez"," D","Calif.",45
"71","Sen. Jeanne Shaheen, D-N.H., 67",TRUE,"1/28/2014",28,1,"Sen. Jeanne Shaheen"," D","N.H.",67
"72","Rep. Bennie Thompson, D-Miss., 66",TRUE,"1/28/2014",28,1,"Rep. Bennie Thompson"," D","Miss.",66
