lon,lat,c
88.2767,24.6017,0.03540
88.2581,24.5992,0.74200
88.2547,24.5769,0.05060
88.4019,24.6186,0.00046
88.3783,24.6403,0.00010
88.3656,24.6156,0.00036
88.2950,24.6306,0.00140
88.2950,24.6306,0.00140
88.3194,24.6183,0.00018
88.3192,24.6108,0.00001
88.3228,24.5983,0.00090
88.2369,24.6017,0.00650
88.2081,24.6025,0.02020
88.1950,24.6239,0.21200
88.2628,24.6250,0.00164
88.2778,24.6231,0.00024
88.2825,24.6544,0.00010
88.2381,24.6372,0.00372
88.2522,24.5839,0.04020
88.2806,24.6433,0.01038
88.2983,24.6650,0.00010
88.2950,24.6889,0.00112
88.2633,24.6883,0.00010
88.2739,24.7072,0.00222
88.3189,24.6800,0.00010
88.3358,24.6706,0.00010
88.3139,24.6525,0.00008
88.2067,24.5736,0.00800
88.1844,24.5586,0.06740
88.1836,24.5592,0.02060
88.1642,24.5797,0.01720
88.1811,24.5386,0.00002
88.2325,24.5406,0.00182
88.2325,24.5406,0.00110
88.2683,24.5228,0.00088
88.1817,24.5022,0.01446
88.2483,24.5125,0.00202
88.2175,24.4956,0.00220
88.2450,24.4844,0.00084
88.2289,24.5000,0.00082
88.2739,24.5958,0.13740
88.2819,24.5942,0.13600
88.2822,24.5939,0.01226
88.2806,24.5997,0.02720
88.2708,24.5992,0.23400
88.2897,24.6053,0.00288
88.2689,24.5742,1.52400
88.2689,24.5742,0.01262
88.3033,24.5689,0.00904
88.4044,24.6414,0.00208
88.3889,24.6039,0.00304
88.3889,24.6039,0.00304
88.3489,24.6544,0.00001
88.3217,24.6267,0.00054
88.3478,24.6114,0.00048
88.3231,24.5794,0.00264
88.2903,24.5761,0.01404
88.3064,24.5133,0.00088
88.3061,24.5139,0.00762
88.3061,24.5347,0.00368
88.2308,24.5792,0.08820
