lon,lat,c
89.8553,23.6147,0.01654
89.8633,23.6075,1.46000
89.8272,23.6031,0.30600
89.8444,23.6064,0.04880
89.8536,23.5689,0.03560
89.8014,23.5792,0.10560
89.7992,23.5622,0.00536
89.8125,23.5553,0.04120
89.8197,23.5092,0.08360
89.8103,23.5094,0.27800
89.7900,23.5331,0.04120
89.7861,23.4958,0.12340
89.8397,23.5158,0.18640
89.8531,23.5311,0.08020
89.8675,23.5347,0.16220
89.8825,23.5747,0.39800
89.9025,23.5586,0.03860
89.8769,23.5969,0.05660
89.7972,23.6869,0.00428
89.8067,23.6964,0.00044
89.8083,23.6714,0.00050
89.8278,23.6292,0.01796
89.7253,23.6700,0.12900
89.7639,23.6603,0.24500
89.7828,23.6436,0.14800
89.8378,23.6014,0.02800
89.8403,23.5825,0.02000
89.8403,23.5825,0.00300
89.8133,23.5872,0.05200
89.8133,23.5872,0.00500
89.7383,23.6372,0.00600
89.7758,23.6117,0.00100
89.7678,23.5794,0.01500
89.7336,23.5411,0.07300
89.6975,23.5639,0.03000
89.7050,23.5853,0.00400
89.7406,23.5697,0.12800
89.7900,23.5972,0.04500
89.7678,23.5436,0.34300
89.7678,23.5264,0.10900
89.8044,23.5414,0.19100
89.8381,23.5397,0.16000
89.8411,23.5703,0.05100
89.8686,23.5567,0.03500
89.8942,23.5783,0.00800
89.8828,23.6058,0.01100
89.8878,23.6233,0.01500
89.8556,23.6406,0.00300
89.8369,23.6669,0.00300
89.8169,23.6517,0.00300
89.7847,23.6761,0.00000
89.7178,23.5753,0.13200
89.7442,23.6119,0.00800
89.7936,23.6139,0.01000
89.8750,23.6439,0.00100
89.8867,23.6303,0.00100
89.8611,23.5842,0.19500
89.8156,23.5767,0.02700
89.8350,23.5819,0.00300
89.8411,23.5789,0.02400
89.7581,23.6339,0.01200
89.8128,23.5897,0.16100
89.8408,23.6033,0.00900
89.8417,23.5919,0.17100
