lon,lat,c
90.7844,22.8731,0.00000
90.7858,22.8686,0.00040
90.7550,22.8950,0.15040
90.7986,22.9083,0.00130
90.8133,22.9300,0.18920
90.8086,22.9458,0.36400
90.7669,22.9794,0.04160
90.8042,22.9806,0.39000
90.8042,22.9806,0.00060
90.7528,23.0167,0.27000
90.8378,23.0006,0.24800
90.8372,22.9603,0.13860
90.7717,23.0422,0.00490
90.8761,22.9544,0.08220
90.8783,22.9828,0.08180
90.8786,23.0194,0.25600
90.9153,23.0128,0.16500
90.9306,22.9817,0.00120
90.9069,22.9772,0.18040
90.9375,22.9569,0.08560
90.9597,22.9850,0.00130
90.9597,22.9650,0.03760
90.9919,22.9458,0.26200
90.9911,22.9778,0.40400
90.9744,22.9253,0.00820
90.9722,22.8889,0.08480
90.9592,22.9417,0.09840
90.9275,22.9050,0.00000
90.9453,22.8814,0.02180
90.9372,22.8653,0.00320
90.9058,22.8525,0.00010
90.9064,22.8239,0.00020
90.8642,22.8567,0.01520
90.8369,22.9133,0.10260
90.8581,22.8850,0.08560
90.8894,22.8933,0.00060
90.9006,22.9144,0.04620
90.9111,22.9439,0.06200
90.8728,22.9128,0.04320
90.9731,22.9600,0.00010
90.9303,22.9878,0.00180
90.9289,22.9261,0.05520
90.9142,22.8903,0.00130
90.8828,22.9422,0.10740
90.7767,22.9322,0.06540
90.7786,22.9664,0.27600
90.8644,22.9875,0.00010
90.8294,22.9347,0.00030
90.8203,22.9336,0.00120
90.8561,22.9836,0.00010
90.8583,22.9242,0.06520
90.8644,22.9414,0.14200
90.8092,22.9694,0.19420
90.8092,22.9694,0.00460
90.8306,23.0350,0.05360
90.8319,23.0758,0.70200
90.8353,23.0778,0.00360
90.8353,23.0778,0.98600
90.9439,22.9239,0.15280
90.9406,22.9431,0.08420
