Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1871,2606,1992,1485,933,731,760,2475,8960,9953,6571,3522,2419
1872,1672,1033,728,605,560,879,3121,8811,10532,7952,4976,3102
1873,2187,1851,1235,756,556,1392,2296,7093,8410,5675,3070,2049
1874,1340,847,664,516,466,964,3061,10790,11805,8064,4282,2904
1875,2210,1686,1060,771,638,698,2396,9259,10455,7691,4436,2830
1876,2116,1791,1441,945,724,887,3106,8811,11072,6757,3788,2523
1877,1833,1264,944,767,972,2639,5899,6442,4704,2851,1818,1878
1878,1373,946,679,543,466,509,2135,8251,12345,10229,5555,3770
1879,2874,2401,2135,1847,1698,1990,3957,9520,10686,7243,4359,3210
1880,2624,2266,1818,1331,1067,1141,3546,8400,8989,6272,3263,2370
1881,1784,1322,993,756,690,763,1851,6720,10146,6571,3730,2441
1882,1829,1343,884,655,552,536,1523,6795,8719,5787,4243,2583
1883,1874,1525,1254,868,668,709,2710,9072,10223,6496,3853,2729
1884,2083,1756,1444,1030,851,879,1773,6645,8179,6347,4128,2591
1885,1933,1467,948,702,560,570,3061,9259,8873,5899,3167,2128
1886,1500,1020,813,694,668,771,1892,7541,9760,5899,3283,2579
1887,1859,1331,910,675,698,968,3065,10379,11304,6795,3858,2699
1888,2064,1348,948,756,660,709,1579,6645,7291,4368,2268,1624
1889,1135,777,619,524,477,516,1874,8325,9992,6571,3329,2143
1890,1639,1058,731,551,474,617,2191,9632,9529,7989,4745,2934
1891,2116,1405,869,659,604,1203,2131,8139,9876,7355,4745,2822
1892,1941,1344,862,6113,500,532,2105,8885,12191,8848,4783,3121
1893,2486,2149,1881,1685,1000,814,1840,8363,9182,7429,4166,2632
1894,2012,1450,918,713,690,829,2856,9744,11072,9035,4783,3255
1895,2531,2087,1758,1315,1052,1003,2893,10864,10455,6533,4089,3158
1896,2396,1927,1407,1030,888,895,2650,8176,10763,7019,5015,4106
1897,2613,2021,1508,1064,903,1041,2150,7093,9104,6123,3182,2176
1898,1736,1359,907,694,593,586,1493,9072,10416,7504,4359,3039
1899,2255,1922,1612,1153,828,810,1795,5525,6520,3845,1917,1254
1900,798,607,466,393,395,543,1441,8288,8294,5899,2785,1881
1901,1400,971,720,559,563,625,1986,7691,9066,4965,2789,1844
1902,1232,818,623,540,496,563,1276,4144,7098,5301,2627,1642
1903,1295,892,623,478,466,914,1863,6608,9567,6944,3935,2098
1904,1564,1289,888,644,668,1126,1907,7056,7330,4853,2353,1683
1905,1411,1008,716,520,537,613,1105,4629,7561,4928,2040,1564
1906,1344,1087,780,717,672,760,1429,6645,9567,6533,3348,1930
1907,1512,1182,761,690,683,721,1355,4368,6790,4181,2415,1583
1908,1314,866,660,597,552,586,1295,8176,11304,7653,3595,1986
1909,1639,1405,929,682,742,1388,2042,7728,9953,7243,3672,2396
1910,1590,1566,1164,706,638,848,1325,6085,9452,7056,4128,2206
1911,1612,1058,795,540,578,802,1306,5600,8873,5413,2854,1836
1912,1261,933,664,570,552,590,1284,6944,7021,3845,1709,1504
1913,1179,797,582,632,698,756,925,2445,4706,2807,1022,746
1914,563,471,601,551,556,652,854,7243,7716,6160,4128,2355
1915,1254,1062,765,659,668,871,1284,3994,5748,5488,2989,1519
1916,1205,838,638,578,705,868,1993,9333,10262,8363,5131,2930
1917,1541,1252,1247,856,821,1234,2042,6533,10725,8512,4475,2740
1918,1485,1359,1579,1616,1493,1782,2191,5077,6828,4144,2075,1146
1919,1247,863,750,810,825,891,1530,6197,8024,4704,2249,1120
1920,985,754,619,621,701,1165,2150,6795,6867,5600,3449,1426
1921,1120,884,713,690,705,814,1284,5749,7561,5525,2735,1202
1922,1116,818,574,555,563,709,1392,7019,9104,5936,3144,1273
1923,1011,917,589,586,776,1273,1646,7504,8256,6048,2754,1441
1924,1127,969,713,679,787,972,2090,6720,8603,5339,3078,1676
1925,929,992,705,663,772,1003,1545,4965,6365,4629,1786,1303
1926,1157,905,616,659,873,1215,1863,7019,7908,5376,3086,1314
1927,1045,1136,731,694,840,1018,1683,5712,7060,4965,1705,1086
1928,813,702,601,644,884,1141,2482,6683,7677,4592,2465,1261
1929,1034,921,735,721,914,1435,3517,8549,9413,6645,3699,1310
1930,1235,1132,795,756,940,1084,1758,6645,6751,4368,1358,1191
1931,884,727,724,659,664,779,1149,5787,8179,5525,3024,1157
1932,1019,806,772,636,817,1080,1631,6907,8796,5861,2723,1149
1933,1310,1359,1008,767,963,1168,1377,4741,8526,5637,2831,1609
1934,1303,1128,884,790,974,1238,2411,7541,9143,5749,2330,1261
1935,1310,1128,899,844,1135,1616,2938,7840,9220,6496,1929,1336
1936,1276,1069,896,844,1157,1408,2240,6981,9182,5339,1736,1303
1937,1101,930,851,767,907,1222,1743,7280,8526,4629,1230,1351
